UID          PID    PPID  C STIME TTY          TIME CMD
root         767       1  0 Sep24 ?        00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 - vt220
root         808       2  0 Sep24 ?        00:00:00 [scsi_eh_0]
root         809       2  0 Sep24 ?        00:00:00 [scsi_tmf_0]
root         810       2  0 Sep24 ?        00:00:16 [usb-storage]
root         811       2  0 Sep24 ?        00:00:00 [uas]
root         814       2  0 Sep24 ?        00:00:00 [psimon]
rtkit        843       1  0 Sep24 ?        00:00:02 /usr/libexec/rtkit-daemon
root         917     732  0 Sep24 ?        00:00:00 lightdm --session-child 15 26
alison       924       1  0 Sep24 ?        00:00:00 /lib/systemd/systemd --user
alison       925     924  0 Sep24 ?        00:00:00 (sd-pam)
alison       940     924  0 Sep24 ?        00:00:00 /usr/bin/pipewire
alison       941     924  0 Sep24 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
alison       942     924  0 Sep24 ?        00:00:00 /usr/bin/wireplumber
alison       943     924  0 Sep24 ?        00:00:00 /usr/bin/pipewire-pulse
alison       944     924  0 Sep24 ?        00:00:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
alison       946     924  0 Sep24 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
alison       972     917  0 Sep24 ?        00:00:00 xfce4-session
alison      1017     972  0 Sep24 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
alison      1027     924  0 Sep24 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
alison      1034    1027  0 Sep24 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
alison      1045     924  0 Sep24 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
alison      1058     924  0 Sep24 ?        00:00:00 /usr/bin/gpg-agent --supervised
alison      1060     972  0 Sep24 ?        00:00:39 xfwm4
alison      1064     924  0 Sep24 ?        00:00:00 /usr/libexec/gvfsd
alison      1070     924  0 Sep24 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
alison      1098     972  0 Sep24 ?        00:00:00 xfsettingsd
root        1102       1  0 Sep24 ?        00:00:00 /usr/libexec/upowerd
alison      1108     972  0 Sep24 ?        00:00:05 xfce4-panel
alison      1113     972  0 Sep24 ?        00:00:00 Thunar --daemon
alison      1119     972  0 Sep24 ?        00:00:03 xfdesktop
alison      1123    1108  0 Sep24 ?        00:00:05 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
